Goodes Hall,143 Union St,2002,Mary and Cedric Goodes
John Deutsch University Centre,87 Union St,1862,John Deutsch
Mitchell Hall,69 Union St,2019,James Mitchell
Stauffer Library,101 Union St,1994,Joseph D. Stauffer
David C. Smith House,236 Stuart St,2015,Dr. David C. Smith
Leonard Hall,128 Queen's Cres,1959,Reuben Wells Leonard
Beamish-Munro Hall,45 Union St,2004,Robert Beamish & Donald Munro
Biosciences Complex,116 Barrie St,1997,Rollo Othwell Earl
Botteral Hall,18 Stuart St,1979,Edmund Harry Botteral
Mackintosh-Corry Hall,58 University Ave,1973,James Alexander Corry & William Archibald Mackintosh
Atheltics & Recreation Center,382 Earl St,2009,Queen's University
Ban Righ Hall,10 Bader Ln,1925,Women
Victoria Hall,75 Bader Ln,1965,Queen Victoria